Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Attend
Tue Nov 28 2017,10:00 pm,Milwaukee Bucks,112,Sacramento Kings,87,17583,
Tue Nov 28 2017,10:00 pm,Denver Nuggets,77,Utah Jazz,106,16790,
Wed Nov 29 2017,8:30 pm,Brooklyn Nets,109,Dallas Mavericks,104,19327,
Wed Nov 29 2017,7:00 pm,Phoenix Suns,107,Detroit Pistons,131,18096,
Wed Nov 29 2017,8:00 pm,Indiana Pacers,97,Houston Rockets,118,16760,
Wed Nov 29 2017,10:30 pm,Golden State Warriors,127,Los Angeles Lakers,123,18997,
Wed Nov 29 2017,8:00 pm,Minnesota Timberwolves,120,New Orleans Pelicans,102,15555,
Wed Nov 29 2017,7:30 pm,Miami Heat,86,New York Knicks,115,17693,
Wed Nov 29 2017,7:00 pm,Oklahoma City Thunder,108,Orlando Magic,121,17797,
Wed Nov 29 2017,7:00 pm,Washington Wizards,113,Philadelphia 76ers,118,20492,
Wed Nov 29 2017,8:30 pm,Memphis Grizzlies,95,San Antonio Spurs,104,18013,
Wed Nov 29 2017,7:30 pm,Charlotte Hornets,113,Toronto Raptors,126,19800,
Thu Nov 30 2017,7:30 pm,Cleveland Cavaliers,121,Atlanta Hawks,114,16379,
Thu Nov 30 2017,7:30 pm,Philadelphia 76ers,97,Boston Celtics,108,18624,
Thu Nov 30 2017,9:00 pm,Chicago Bulls,110,Denver Nuggets,111,15156,
Thu Nov 30 2017,10:30 pm,Utah Jazz,126,Los Angeles Clippers,107,15139,
Thu Nov 30 2017,10:00 pm,Milwaukee Bucks,103,Portland Trail Blazers,91,19459,
Fri Dec 1 2017,8:00 pm,Sacramento Kings,107,Chicago Bulls,106,19268,
Fri Dec 1 2017,8:00 pm,San Antonio Spurs,95,Memphis Grizzlies,79,16413,
Fri Dec 1 2017,8:00 pm,Charlotte Hornets,100,Miami Heat,105,19600,
Fri Dec 1 2017,8:00 pm,Minnesota Timberwolves,107,Oklahoma City Thunder,111,18203,
Fri Dec 1 2017,7:00 pm,Golden State Warriors,133,Orlando Magic,112,18846,
Fri Dec 1 2017,7:30 pm,Indiana Pacers,115,Toronto Raptors,120,19800,
Fri Dec 1 2017,9:00 pm,New Orleans Pelicans,108,Utah Jazz,114,17725,
Fri Dec 1 2017,7:00 pm,Detroit Pistons,91,Washington Wizards,109,17885,
Sat Dec 2 2017,1:00 pm,Phoenix Suns,111,Boston Celtics,116,18624,
Sat Dec 2 2017,3:00 pm,Atlanta Hawks,114,Brooklyn Nets,102,13949,
Sat Dec 2 2017,7:30 pm,Memphis Grizzlies,111,Cleveland Cavaliers,116,20562,
Sat Dec 2 2017,2:00 pm,Los Angeles Clippers,82,Dallas Mavericks,108,19245,
Sat Dec 2 2017,9:00 pm,Los Angeles Lakers,100,Denver Nuggets,115,19520,
Sat Dec 2 2017,8:30 pm,Sacramento Kings,104,Milwaukee Bucks,109,15581,
Sat Dec 2 2017,7:30 pm,Detroit Pistons,103,Philadelphia 76ers,108,20562,
Sat Dec 2 2017,10:00 pm,New Orleans Pelicans,123,Portland Trail Blazers,116,18730,
Sun Dec 3 2017,9:30 pm,Houston Rockets,118,Los Angeles Lakers,95,18997,
Sun Dec 3 2017,7:00 pm,Golden State Warriors,123,Miami Heat,95,19600,
Sun Dec 3 2017,7:00 pm,Los Angeles Clippers,106,Minnesota Timberwolves,112,13172,
Sun Dec 3 2017,3:30 pm,Orlando Magic,105,New York Knicks,100,19082,
Sun Dec 3 2017,7:00 pm,San Antonio Spurs,87,Oklahoma City Thunder,90,18203,
Mon Dec 4 2017,7:30 pm,Brooklyn Nets,110,Atlanta Hawks,90,12056,
Mon Dec 4 2017,7:30 pm,Milwaukee Bucks,100,Boston Celtics,111,18624,
Mon Dec 4 2017,8:00 pm,Cleveland Cavaliers,113,Chicago Bulls,91,21323,
Mon Dec 4 2017,7:00 pm,Orlando Magic,94,Charlotte Hornets,104,14419,
Mon Dec 4 2017,8:30 pm,Denver Nuggets,105,Dallas Mavericks,122,19419,
Mon Dec 4 2017,7:00 pm,New York Knicks,97,Indiana Pacers,115,12018,
Mon Dec 4 2017,8:00 pm,Minnesota Timberwolves,92,Memphis Grizzlies,95,14012,
Mon Dec 4 2017,8:00 pm,Golden State Warriors,125,New Orleans Pelicans,115,17004,
Mon Dec 4 2017,7:00 pm,Phoenix Suns,115,Philadelphia 76ers,101,20564,
Mon Dec 4 2017,8:30 pm,Detroit Pistons,93,San Antonio Spurs,96,18288,
Mon Dec 4 2017,9:00 pm,Washington Wizards,69,Utah Jazz,116,17227,
Tue Dec 5 2017,8:00 pm,Utah Jazz,94,Oklahoma City Thunder,100,18203,
Tue Dec 5 2017,10:00 pm,Washington Wizards,106,Portland Trail Blazers,92,19241,
Tue Dec 5 2017,7:30 pm,Phoenix Suns,113,Toronto Raptors,126,19800,
Wed Dec 6 2017,7:30 pm,Dallas Mavericks,90,Boston Celtics,97,18624,
Wed Dec 6 2017,8:00 pm,Golden State Warriors,101,Charlotte Hornets,87,19334,
Wed Dec 6 2017,7:00 pm,Sacramento Kings,95,Cleveland Cavaliers,101,20562,
Wed Dec 6 2017,7:00 pm,Chicago Bulls,96,Indiana Pacers,98,13013,
Wed Dec 6 2017,10:30 pm,Minnesota Timberwolves,113,Los Angeles Clippers,107,15951,
Wed Dec 6 2017,8:00 pm,Detroit Pistons,100,Milwaukee Bucks,104,15841,
Wed Dec 6 2017,8:00 pm,Denver Nuggets,114,New Orleans Pelicans,123,15353,
Wed Dec 6 2017,7:30 pm,Memphis Grizzlies,88,New York Knicks,99,19812,
Wed Dec 6 2017,7:00 pm,Atlanta Hawks,106,Orlando Magic,110,16167,
Wed Dec 6 2017,8:30 pm,Miami Heat,105,San Antonio Spurs,117,18252,
Thu Dec 7 2017,10:00 pm,Oklahoma City Thunder,95,Brooklyn Nets,100,20562,at Mexico City Mexico
Thu Dec 7 2017,8:00 pm,Los Angeles Lakers,107,Philadelphia 76ers,104,20495,
Thu Dec 7 2017,9:00 pm,Washington Wizards,109,Phoenix Suns,99,15925,
Thu Dec 7 2017,10:30 pm,Houston Rockets,112,Utah Jazz,101,18306,
Fri Dec 8 2017,7:00 pm,Chicago Bulls,119,Charlotte Hornets,111,14077,
Fri Dec 8 2017,7:00 pm,Golden State Warriors,102,Detroit Pistons,98,20491,
Fri Dec 8 2017,7:00 pm,Cleveland Cavaliers,102,Indiana Pacers,106,17032,
Fri Dec 8 2017,8:00 pm,Toronto Raptors,116,Memphis Grizzlies,107,15417,
Fri Dec 8 2017,8:00 pm,Dallas Mavericks,102,Milwaukee Bucks,109,15889,
Fri Dec 8 2017,8:00 pm,Sacramento Kings,116,New Orleans Pelicans,109,15019,
Fri Dec 8 2017,7:00 pm,Denver Nuggets,103,Orlando Magic,89,16024,
Fri Dec 8 2017,9:30 pm,Boston Celtics,102,San Antonio Spurs,105,18418,
Sat Dec 9 2017,7:30 pm,Orlando Magic,110,Atlanta Hawks,117,12719,
Sat Dec 9 2017,6:00 pm,Miami Heat,101,Brooklyn Nets,89,19777,at Mexico City Mexico
Sat Dec 9 2017,8:00 pm,New York Knicks,102,Chicago Bulls,104,20149,
Sat Dec 9 2017,7:00 pm,Los Angeles Lakers,110,Charlotte Hornets,99,19320,
Sat Dec 9 2017,8:00 pm,Philadelphia 76ers,98,Cleveland Cavaliers,105,20562,
Sat Dec 9 2017,3:30 pm,Washington Wizards,112,Los Angeles Clippers,113,15739,
Sat Dec 9 2017,9:00 pm,Oklahoma City Thunder,102,Memphis Grizzlies,101,17794,
Sat Dec 9 2017,8:30 pm,Utah Jazz,100,Milwaukee Bucks,117,16675,
Sat Dec 9 2017,9:00 pm,San Antonio Spurs,104,Phoenix Suns,101,16575,
Sat Dec 9 2017,10:00 pm,Houston Rockets,124,Portland Trail Blazers,117,19503,
Sun Dec 10 2017,4:00 pm,Boston Celtics,91,Detroit Pistons,81,18776,
Sun Dec 10 2017,5:00 pm,Denver Nuggets,116,Indiana Pacers,126,14587,
Sun Dec 10 2017,7:00 pm,Dallas Mavericks,92,Minnesota Timberwolves,97,13094,
Sun Dec 10 2017,7:00 pm,Philadelphia 76ers,124,New Orleans Pelicans,131,16878,
Sun Dec 10 2017,7:30 pm,Atlanta Hawks,107,New York Knicks,111,19189,
Sun Dec 10 2017,3:30 pm,Toronto Raptors,102,Sacramento Kings,87,17583,
Mon Dec 11 2017,8:00 pm,Boston Celtics,85,Chicago Bulls,108,19617,
Mon Dec 11 2017,10:30 pm,Portland Trail Blazers,104,Golden State Warriors,111,19596,
Mon Dec 11 2017,8:00 pm,New Orleans Pelicans,123,Houston Rockets,130,18055,
Mon Dec 11 2017,10:30 pm,Toronto Raptors,91,Los Angeles Clippers,96,16658,
Mon Dec 11 2017,8:00 pm,Miami Heat,107,Memphis Grizzlies,82,14857,
Mon Dec 11 2017,8:00 pm,Charlotte Hornets,116,Oklahoma City Thunder,103,18203,
Tue Dec 12 2017,7:30 pm,Washington Wizards,98,Brooklyn Nets,103,14515,
Tue Dec 12 2017,7:00 pm,Atlanta Hawks,114,Cleveland Cavaliers,123,20562,
Tue Dec 12 2017,8:30 pm,San Antonio Spurs,89,Dallas Mavericks,95,19874,
Tue Dec 12 2017,7:00 pm,Denver Nuggets,103,Detroit Pistons,84,15480,
Tue Dec 12 2017,9:30 pm,Philadelphia 76ers,118,Minnesota Timberwolves,112,14659,
Tue Dec 12 2017,7:00 pm,Los Angeles Lakers,109,New York Knicks,113,19359,
Tue Dec 12 2017,10:00 pm,Phoenix Suns,92,Sacramento Kings,99,17583,
Wed Dec 13 2017,7:30 pm,Denver Nuggets,118,Boston Celtics,124,18624,
Wed Dec 13 2017,8:00 pm,Utah Jazz,100,Chicago Bulls,103,18102,
Wed Dec 13 2017,9:30 pm,Charlotte Hornets,96,Houston Rockets,108,16509,
Wed Dec 13 2017,7:00 pm,Oklahoma City Thunder,100,Indiana Pacers,95,17923,
Wed Dec 13 2017,7:30 pm,Portland Trail Blazers,102,Miami Heat,95,19600,
Wed Dec 13 2017,8:00 pm,Milwaukee Bucks,108,New Orleans Pelicans,115,16863,
Wed Dec 13 2017,7:00 pm,Los Angeles Clippers,106,Orlando Magic,95,16011,
Wed Dec 13 2017,9:00 pm,Toronto Raptors,115,Phoenix Suns,109,15517,
Wed Dec 13 2017,7:00 pm,Memphis Grizzlies,87,Washington Wizards,93,15297,
Thu Dec 14 2017,7:30 pm,Detroit Pistons,105,Atlanta Hawks,91,13548,
Thu Dec 14 2017,7:30 pm,New York Knicks,111,Brooklyn Nets,104,17732,
Thu Dec 14 2017,8:00 pm,Los Angeles Lakers,112,Cleveland Cavaliers,121,20562,
Thu Dec 14 2017,10:30 pm,Dallas Mavericks,97,Golden State Warriors,112,19596,
Thu Dec 14 2017,8:00 pm,Sacramento Kings,96,Minnesota Timberwolves,119,11126,
Fri Dec 15 2017,7:30 pm,Utah Jazz,107,Boston Celtics,95,18624,
Fri Dec 15 2017,7:00 pm,Miami Heat,104,Charlotte Hornets,98,15565,
Fri Dec 15 2017,9:00 pm,New Orleans Pelicans,111,Denver Nuggets,117,17584,
Fri Dec 15 2017,9:30 pm,San Antonio Spurs,109,Houston Rockets,124,18055,
Fri Dec 15 2017,7:00 pm,Detroit Pistons,104,Indiana Pacers,98,14687,
Fri Dec 15 2017,8:00 pm,Atlanta Hawks,94,Memphis Grizzlies,96,15803,
Fri Dec 15 2017,8:00 pm,Chicago Bulls,115,Milwaukee Bucks,109,16921,
Fri Dec 15 2017,7:00 pm,Portland Trail Blazers,95,Orlando Magic,88,16963,
Fri Dec 15 2017,7:00 pm,Oklahoma City Thunder,119,Philadelphia 76ers,117,Box Score,3OT,20612,
Fri Dec 15 2017,7:30 pm,Brooklyn Nets,87,Toronto Raptors,120,19800,
Fri Dec 15 2017,7:00 pm,Los Angeles Clippers,91,Washington Wizards,100,15442,
Sat Dec 16 2017,7:00 pm,Portland Trail Blazers,93,Charlotte Hornets,91,16687,
Sat Dec 16 2017,7:30 pm,Utah Jazz,100,Cleveland Cavaliers,109,20562,
Sat Dec 16 2017,8:00 pm,Milwaukee Bucks,111,Houston Rockets,115,18055,
Sat Dec 16 2017,9:00 pm,Boston Celtics,102,Memphis Grizzlies,93,17794,
Sat Dec 16 2017,8:00 pm,Los Angeles Clippers,85,Miami Heat,90,19600,
Sat Dec 16 2017,8:00 pm,Phoenix Suns,108,Minnesota Timberwolves,106,18109,
Sat Dec 16 2017,7:30 pm,Oklahoma City Thunder,96,New York Knicks,111,19812,
Sat Dec 16 2017,8:30 pm,Dallas Mavericks,96,San Antonio Spurs,98,18418,
Sun Dec 17 2017,6:00 pm,Indiana Pacers,109,Brooklyn Nets,97,13934,
Sun Dec 17 2017,4:00 pm,Orlando Magic,110,Detroit Pistons,114,16312,
Sun Dec 17 2017,3:30 pm,Sacramento Kings,93,Toronto Raptors,108,19800,
Sun Dec 17 2017,6:00 pm,Cleveland Cavaliers,106,Washington Wizards,99,20356,
Mon Dec 18 2017,7:30 pm,Miami Heat,104,Atlanta Hawks,110,14227,
Mon Dec 18 2017,8:00 pm,Philadelphia 76ers,115,Chicago Bulls,117,20796,
Mon Dec 18 2017,7:00 pm,New York Knicks,91,Charlotte Hornets,109,15386,
Mon Dec 18 2017,8:30 pm,Phoenix Suns,97,Dallas Mavericks,91,19245,
Mon Dec 18 2017,8:00 pm,Utah Jazz,99,Houston Rockets,120,18055,
Mon Dec 18 2017,7:00 pm,Boston Celtics,112,Indiana Pacers,111,16055,
Mon Dec 18 2017,10:30 pm,Golden State Warriors,116,Los Angeles Lakers,114,18997,
Mon Dec 18 2017,8:00 pm,Portland Trail Blazers,107,Minnesota Timberwolves,108,14187,
Mon Dec 18 2017,8:00 pm,Denver Nuggets,94,Oklahoma City Thunder,95,18203,
Mon Dec 18 2017,8:30 pm,Los Angeles Clippers,91,San Antonio Spurs,109,18418,
Tue Dec 19 2017,8:00 pm,Cleveland Cavaliers,116,Milwaukee Bucks,119,18717,
Tue Dec 19 2017,7:00 pm,Sacramento Kings,101,Philadelphia 76ers,95,20558,
Tue Dec 19 2017,7:00 pm,New Orleans Pelicans,106,Washington Wizards,116,16529,
Wed Dec 20 2017,7:30 pm,Indiana Pacers,105,Atlanta Hawks,95,14830,
Wed Dec 20 2017,7:30 pm,Miami Heat,90,Boston Celtics,89,18624,
Wed Dec 20 2017,7:30 pm,Sacramento Kings,104,Brooklyn Nets,99,13179,
Wed Dec 20 2017,8:00 pm,Orlando Magic,94,Chicago Bulls,112,20285,
Wed Dec 20 2017,7:00 pm,Toronto Raptors,129,Charlotte Hornets,111,15023,
Wed Dec 20 2017,8:30 pm,Detroit Pistons,93,Dallas Mavericks,110,19580,
Wed Dec 20 2017,9:00 pm,Minnesota Timberwolves,112,Denver Nuggets,104,17002,
Wed Dec 20 2017,10:30 pm,Memphis Grizzlies,84,Golden State Warriors,97,19596,
Wed Dec 20 2017,8:00 pm,Los Angeles Lakers,122,Houston Rockets,116,18055,
Wed Dec 20 2017,10:30 pm,Phoenix Suns,95,Los Angeles Clippers,108,17151,
Wed Dec 20 2017,8:00 pm,Utah Jazz,79,Oklahoma City Thunder,107,18203,
Wed Dec 20 2017,10:00 pm,San Antonio Spurs,93,Portland Trail Blazers,91,19393,
Thu Dec 21 2017,7:00 pm,Chicago Bulls,112,Cleveland Cavaliers,115,20562,
Thu Dec 21 2017,8:00 pm,Boston Celtics,93,New York Knicks,102,19812,
Thu Dec 21 2017,7:00 pm,Toronto Raptors,114,Philadelphia 76ers,109,20680,
Thu Dec 21 2017,9:00 pm,Memphis Grizzlies,95,Phoenix Suns,97,16339,
Thu Dec 21 2017,10:30 pm,San Antonio Spurs,89,Utah Jazz,100,18306,
Fri Dec 22 2017,7:30 pm,Washington Wizards,84,Brooklyn Nets,119,15589,
Fri Dec 22 2017,7:00 pm,New York Knicks,101,Detroit Pistons,104,16922,
Fri Dec 22 2017,10:30 pm,Los Angeles Lakers,106,Golden State Warriors,113,19596,
Fri Dec 22 2017,8:00 pm,Los Angeles Clippers,128,Houston Rockets,118,18055,
Fri Dec 22 2017,8:00 pm,Dallas Mavericks,101,Miami Heat,113,19600,
Fri Dec 22 2017,8:00 pm,Charlotte Hornets,104,Milwaukee Bucks,109,17018,
Fri Dec 22 2017,8:00 pm,Atlanta Hawks,117,Oklahoma City Thunder,120,18203,
Fri Dec 22 2017,7:00 pm,New Orleans Pelicans,111,Orlando Magic,97,18846,
Fri Dec 22 2017,10:00 pm,Denver Nuggets,102,Portland Trail Blazers,85,19473,
Sat Dec 23 2017,7:30 pm,Dallas Mavericks,107,Atlanta Hawks,112,13402,
Sat Dec 23 2017,7:30 pm,Chicago Bulls,92,Boston Celtics,117,18624,
Sat Dec 23 2017,7:00 pm,Milwaukee Bucks,106,Charlotte Hornets,111,18363,
Sat Dec 23 2017,8:30 pm,Denver Nuggets,96,Golden State Warriors,81,19596,
Sat Dec 23 2017,7:00 pm,Brooklyn Nets,119,Indiana Pacers,123,17107,
Sat Dec 23 2017,9:30 pm,Portland Trail Blazers,95,Los Angeles Lakers,92,18997,
Sat Dec 23 2017,8:00 pm,Los Angeles Clippers,112,Memphis Grizzlies,115,16844,
Sat Dec 23 2017,8:00 pm,New Orleans Pelicans,109,Miami Heat,94,19600,
Sat Dec 23 2017,9:00 pm,Minnesota Timberwolves,115,Phoenix Suns,106,16482,
Sat Dec 23 2017,10:00 pm,San Antonio Spurs,108,Sacramento Kings,99,17583,
Sat Dec 23 2017,5:00 pm,Philadelphia 76ers,86,Toronto Raptors,102,19800,
Sat Dec 23 2017,8:00 pm,Oklahoma City Thunder,103,Utah Jazz,89,18306,
Sat Dec 23 2017,7:00 pm,Orlando Magic,103,Washington Wizards,130,17218,
Mon Dec 25 2017,5:30 pm,Washington Wizards,111,Boston Celtics,103,18624,
Mon Dec 25 2017,3:00 pm,Cleveland Cavaliers,92,Golden State Warriors,99,19596,
Mon Dec 25 2017,10:30 pm,Minnesota Timberwolves,121,Los Angeles Lakers,104,18997,
Mon Dec 25 2017,12:00 pm,Philadelphia 76ers,105,New York Knicks,98,19812,
Mon Dec 25 2017,8:00 pm,Houston Rockets,107,Oklahoma City Thunder,112,18203,
Tue Dec 26 2017,7:00 pm,Toronto Raptors,93,Dallas Mavericks,98,20005,
Tue Dec 26 2017,9:00 pm,Utah Jazz,83,Denver Nuggets,107,17104,
Tue Dec 26 2017,7:00 pm,Indiana Pacers,83,Detroit Pistons,107,20491,
Tue Dec 26 2017,10:30 pm,Sacramento Kings,95,Los Angeles Clippers,122,16393,
Tue Dec 26 2017,7:30 pm,Orlando Magic,89,Miami Heat,107,19600,
Tue Dec 26 2017,8:00 pm,Chicago Bulls,115,Milwaukee Bucks,106,18717,
Tue Dec 26 2017,9:00 pm,Memphis Grizzlies,97,Phoenix Suns,99,17105,
Tue Dec 26 2017,8:30 pm,Brooklyn Nets,97,San Antonio Spurs,109,18492,
Wed Dec 27 2017,7:30 pm,Washington Wizards,99,Atlanta Hawks,113,15763,
Wed Dec 27 2017,8:00 pm,New York Knicks,87,Chicago Bulls,92,21883,
Wed Dec 27 2017,7:00 pm,Boston Celtics,102,Charlotte Hornets,91,19611,
Wed Dec 27 2017,10:30 pm,Utah Jazz,101,Golden State Warriors,126,19596,
Wed Dec 27 2017,7:00 pm,Dallas Mavericks,98,Indiana Pacers,94,17923,
Wed Dec 27 2017,10:30 pm,Memphis Grizzlies,109,Los Angeles Lakers,99,18997,
Wed Dec 27 2017,8:00 pm,Denver Nuggets,125,Minnesota Timberwolves,128,18978,
Wed Dec 27 2017,8:00 pm,Brooklyn Nets,113,New Orleans Pelicans,128,16707,
Wed Dec 27 2017,8:00 pm,Toronto Raptors,107,Oklahoma City Thunder,124,18203,
Wed Dec 27 2017,10:00 pm,Cleveland Cavaliers,95,Sacramento Kings,109,17583,
Thu Dec 28 2017,8:00 pm,Houston Rockets,98,Boston Celtics,99,18624,
Thu Dec 28 2017,8:00 pm,Minnesota Timberwolves,96,Milwaukee Bucks,102,18717,
Thu Dec 28 2017,7:00 pm,Detroit Pistons,89,Orlando Magic,102,18846,
Thu Dec 28 2017,10:30 pm,Philadelphia 76ers,110,Portland Trail Blazers,114,20104,
Thu Dec 28 2017,8:30 pm,New York Knicks,107,San Antonio Spurs,119,18935,
Fri Dec 29 2017,8:00 pm,Indiana Pacers,107,Chicago Bulls,119,21178,
Fri Dec 29 2017,10:30 pm,Charlotte Hornets,111,Golden State Warriors,100,19596,
Fri Dec 29 2017,10:30 pm,Los Angeles Clippers,121,Los Angeles Lakers,106,18997,
Fri Dec 29 2017,8:00 pm,Brooklyn Nets,111,Miami Heat,87,19600,
Fri Dec 29 2017,8:00 pm,Dallas Mavericks,128,New Orleans Pelicans,120,16878,
Fri Dec 29 2017,8:00 pm,Milwaukee Bucks,97,Oklahoma City Thunder,95,18203,
Fri Dec 29 2017,10:00 pm,Phoenix Suns,111,Sacramento Kings,101,17583,
Fri Dec 29 2017,7:30 pm,Atlanta Hawks,98,Toronto Raptors,111,19800,
Fri Dec 29 2017,7:00 pm,Houston Rockets,103,Washington Wizards,121,20356,
Sat Dec 30 2017,7:30 pm,Portland Trail Blazers,89,Atlanta Hawks,104,15877,
Sat Dec 30 2017,9:00 pm,Philadelphia 76ers,107,Denver Nuggets,102,19599,
Sat Dec 30 2017,7:00 pm,San Antonio Spurs,79,Detroit Pistons,93,19671,
Sat Dec 30 2017,8:30 pm,Memphis Grizzlies,128,Golden State Warriors,141,19596,
Sat Dec 30 2017,7:00 pm,New York Knicks,105,New Orleans Pelicans,103,16947,
Sat Dec 30 2017,7:00 pm,Miami Heat,117,Orlando Magic,111,18846,
Sat Dec 30 2017,8:00 pm,Cleveland Cavaliers,101,Utah Jazz,104,18306,
Sun Dec 31 2017,5:30 pm,Brooklyn Nets,105,Boston Celtics,108,18624,
Sun Dec 31 2017,7:00 pm,Los Angeles Lakers,142,Houston Rockets,148,Box Score,2OT,18179,
Sun Dec 31 2017,5:00 pm,Minnesota Timberwolves,107,Indiana Pacers,90,17923,
Sun Dec 31 2017,7:00 pm,Charlotte Hornets,98,Los Angeles Clippers,106,17348,
Sun Dec 31 2017,7:00 pm,Dallas Mavericks,116,Oklahoma City Thunder,113,18203,
Sun Dec 31 2017,8:00 pm,Philadelphia 76ers,123,Phoenix Suns,110,16983,
Sun Dec 31 2017,7:00 pm,Memphis Grizzlies,114,Sacramento Kings,96,17583,
Sun Dec 31 2017,3:30 pm,Chicago Bulls,110,Washington Wizards,114,20356,
Mon Jan 1 2018,7:30 pm,Orlando Magic,95,Brooklyn Nets,98,16164,
Mon Jan 1 2018,8:00 pm,Portland Trail Blazers,124,Chicago Bulls,120,20860,
Mon Jan 1 2018,8:00 pm,Los Angeles Lakers,96,Minnesota Timberwolves,114,18978,
Mon Jan 1 2018,7:30 pm,Milwaukee Bucks,127,Toronto Raptors,131,19800,
Tue Jan 2 2018,7:00 pm,Portland Trail Blazers,110,Cleveland Cavaliers,127,20562,
Tue Jan 2 2018,10:30 pm,Memphis Grizzlies,105,Los Angeles Clippers,113,15711,
Tue Jan 2 2018,7:30 pm,San Antonio Spurs,100,New York Knicks,91,19812,
Tue Jan 2 2018,9:00 pm,Atlanta Hawks,103,Phoenix Suns,104,15921,
Tue Jan 2 2018,10:00 pm,Charlotte Hornets,131,Sacramento Kings,111,17583,
Wed Jan 3 2018,8:00 pm,Cleveland Cavaliers,88,Boston Celtics,102,18624,
Wed Jan 3 2018,7:30 pm,Minnesota Timberwolves,97,Brooklyn Nets,98,16215,
Wed Jan 3 2018,8:00 pm,Toronto Raptors,124,Chicago Bulls,115,20056,
Wed Jan 3 2018,8:30 pm,Golden State Warriors,125,Dallas Mavericks,122,20212,
Wed Jan 3 2018,9:00 pm,Phoenix Suns,111,Denver Nuggets,134,14079,
Wed Jan 3 2018,10:30 pm,Oklahoma City Thunder,133,Los Angeles Lakers,96,18997,
Wed Jan 3 2018,7:30 pm,Detroit Pistons,104,Miami Heat,111,19600,
Wed Jan 3 2018,8:00 pm,Indiana Pacers,101,Milwaukee Bucks,122,15613,
Wed Jan 3 2018,7:00 pm,Houston Rockets,116,Orlando Magic,98,18588,
Wed Jan 3 2018,7:00 pm,San Antonio Spurs,106,Philadelphia 76ers,112,20642,
Wed Jan 3 2018,9:00 pm,New Orleans Pelicans,108,Utah Jazz,98,18306,
Wed Jan 3 2018,7:00 pm,New York Knicks,103,Washington Wizards,121,17206,
Thu Jan 4 2018,8:00 pm,Golden State Warriors,124,Houston Rockets,114,18055,
Thu Jan 4 2018,10:30 pm,Oklahoma City Thunder,127,Los Angeles Clippers,117,19068,
Fri Jan 5 2018,7:00 pm,Minnesota Timberwolves,84,Boston Celtics,91,18624,
Fri Jan 5 2018,8:30 pm,Chicago Bulls,127,Dallas Mavericks,124,20073,
Fri Jan 5 2018,9:00 pm,Utah Jazz,91,Denver Nuggets,99,15557,
Fri Jan 5 2018,10:30 pm,Charlotte Hornets,108,Los Angeles Lakers,94,18997,
Fri Jan 5 2018,9:30 pm,Washington Wizards,102,Memphis Grizzlies,100,16988,
Fri Jan 5 2018,8:00 pm,New York Knicks,103,Miami Heat,107,19600,
Fri Jan 5 2018,8:00 pm,Toronto Raptors,129,Milwaukee Bucks,110,18717,
Fri Jan 5 2018,7:00 pm,Detroit Pistons,78,Philadelphia 76ers,114,20592,
Fri Jan 5 2018,10:00 pm,Atlanta Hawks,89,Portland Trail Blazers,110,19393,
Fri Jan 5 2018,8:30 pm,Phoenix Suns,89,San Antonio Spurs,103,18501,
Sat Jan 6 2018,6:00 pm,Boston Celtics,87,Brooklyn Nets,85,17732,
Sat Jan 6 2018,7:00 pm,Houston Rockets,101,Detroit Pistons,108,18046,
Sat Jan 6 2018,7:00 pm,Chicago Bulls,86,Indiana Pacers,125,17923,
Sat Jan 6 2018,3:30 pm,Golden State Warriors,121,Los Angeles Clippers,105,19068,
Sat Jan 6 2018,9:00 pm,New Orleans Pelicans,98,Minnesota Timberwolves,116,18978,
Sat Jan 6 2018,7:00 pm,Cleveland Cavaliers,131,Orlando Magic,127,18997,
Sat Jan 6 2018,10:00 pm,Denver Nuggets,98,Sacramento Kings,106,17583,
Sat Jan 6 2018,8:00 pm,Milwaukee Bucks,110,Washington Wizards,103,18762,
Sun Jan 7 2018,7:00 pm,New York Knicks,100,Dallas Mavericks,96,20171,
Sun Jan 7 2018,9:30 pm,Atlanta Hawks,113,Los Angeles Lakers,132,18997,
Sun Jan 7 2018,3:30 pm,Utah Jazz,102,Miami Heat,103,19600,
Sun Jan 7 2018,8:00 pm,Oklahoma City Thunder,100,Phoenix Suns,114,18055,
Sun Jan 7 2018,9:00 pm,San Antonio Spurs,110,Portland Trail Blazers,111,19393,
Mon Jan 8 2018,7:30 pm,Toronto Raptors,114,Brooklyn Nets,113,13681,
Mon Jan 8 2018,8:00 pm,Houston Rockets,116,Chicago Bulls,107,17462,
Mon Jan 8 2018,10:30 pm,Denver Nuggets,114,Golden State Warriors,124,19596,
Mon Jan 8 2018,7:00 pm,Milwaukee Bucks,96,Indiana Pacers,109,14670,
Mon Jan 8 2018,10:30 pm,Atlanta Hawks,107,Los Angeles Clippers,108,14624,
Mon Jan 8 2018,8:00 pm,Cleveland Cavaliers,99,Minnesota Timberwolves,127,18978,
Mon Jan 8 2018,8:00 pm,Detroit Pistons,109,New Orleans Pelicans,112,12874,
Mon Jan 8 2018,10:00 pm,San Antonio Spurs,107,Sacramento Kings,100,17583,
Tue Jan 9 2018,8:30 pm,Orlando Magic,99,Dallas Mavericks,114,19306,
Tue Jan 9 2018,10:30 pm,Sacramento Kings,86,Los Angeles Lakers,99,18997,
