Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Attend
Mon Nov 13 2017,10:30 pm,Orlando Magic,100,Golden State Warriors,110,19596,
Mon Nov 13 2017,10:30 pm,Philadelphia 76ers,109,Los Angeles Clippers,105,19068,
Mon Nov 13 2017,8:00 pm,Memphis Grizzlies,103,Milwaukee Bucks,110,13244,
Mon Nov 13 2017,8:00 pm,Atlanta Hawks,105,New Orleans Pelicans,106,14631,
Mon Nov 13 2017,7:30 pm,Cleveland Cavaliers,104,New York Knicks,101,19812,
Mon Nov 13 2017,9:00 pm,Los Angeles Lakers,100,Phoenix Suns,93,17533,
Mon Nov 13 2017,10:00 pm,Denver Nuggets,82,Portland Trail Blazers,99,18895,
Mon Nov 13 2017,9:00 pm,Minnesota Timberwolves,109,Utah Jazz,98,17236,
Mon Nov 13 2017,7:00 pm,Sacramento Kings,92,Washington Wizards,110,14660,
Tue Nov 14 2017,7:30 pm,Boston Celtics,109,Brooklyn Nets,102,17732,
Tue Nov 14 2017,8:30 pm,San Antonio Spurs,97,Dallas Mavericks,91,19535,
Tue Nov 14 2017,8:00 pm,Toronto Raptors,129,Houston Rockets,113,18055,
Wed Nov 15 2017,7:30 pm,Sacramento Kings,80,Atlanta Hawks,126,13860,
Wed Nov 15 2017,8:00 pm,Cleveland Cavaliers,115,Charlotte Hornets,107,19427,
Wed Nov 15 2017,10:30 pm,Philadelphia 76ers,115,Los Angeles Lakers,109,18997,
Wed Nov 15 2017,8:00 pm,Indiana Pacers,116,Memphis Grizzlies,113,16033,
Wed Nov 15 2017,7:30 pm,Washington Wizards,102,Miami Heat,93,19600,
Wed Nov 15 2017,8:00 pm,Detroit Pistons,95,Milwaukee Bucks,99,14594,
Wed Nov 15 2017,8:00 pm,San Antonio Spurs,86,Minnesota Timberwolves,98,18978,
Wed Nov 15 2017,8:00 pm,Toronto Raptors,125,New Orleans Pelicans,116,15654,
Wed Nov 15 2017,7:30 pm,Utah Jazz,101,New York Knicks,106,18695,
Wed Nov 15 2017,8:00 pm,Chicago Bulls,79,Oklahoma City Thunder,92,18203,
Wed Nov 15 2017,10:00 pm,Orlando Magic,94,Portland Trail Blazers,99,19206,
Thu Nov 16 2017,8:00 pm,Golden State Warriors,88,Boston Celtics,92,18624,
Thu Nov 16 2017,10:30 pm,Houston Rockets,142,Phoenix Suns,116,16875,
Fri Nov 17 2017,7:30 pm,Utah Jazz,107,Brooklyn Nets,118,14495,
Fri Nov 17 2017,8:00 pm,Charlotte Hornets,120,Chicago Bulls,123,20493,
Fri Nov 17 2017,7:30 pm,Los Angeles Clippers,113,Cleveland Cavaliers,118,20562,
Fri Nov 17 2017,8:30 pm,Minnesota Timberwolves,111,Dallas Mavericks,87,19459,
Fri Nov 17 2017,10:30 pm,New Orleans Pelicans,114,Denver Nuggets,146,16816,
Fri Nov 17 2017,7:00 pm,Detroit Pistons,100,Indiana Pacers,107,17188,
Fri Nov 17 2017,10:30 pm,Phoenix Suns,122,Los Angeles Lakers,113,18997,
Fri Nov 17 2017,10:00 pm,Portland Trail Blazers,82,Sacramento Kings,86,17583,
Fri Nov 17 2017,8:00 pm,Oklahoma City Thunder,101,San Antonio Spurs,104,18418,
Fri Nov 17 2017,7:30 pm,New York Knicks,84,Toronto Raptors,107,19800,
Fri Nov 17 2017,7:00 pm,Miami Heat,91,Washington Wizards,88,17551,
Sat Nov 18 2017,7:30 pm,Boston Celtics,110,Atlanta Hawks,99,16381,
Sat Nov 18 2017,7:00 pm,Los Angeles Clippers,87,Charlotte Hornets,102,17640,
Sat Nov 18 2017,9:00 pm,Milwaukee Bucks,79,Dallas Mavericks,111,19949,
Sat Nov 18 2017,8:00 pm,Houston Rockets,105,Memphis Grizzlies,83,17266,
Sat Nov 18 2017,7:00 pm,Utah Jazz,125,Orlando Magic,85,19157,
Sat Nov 18 2017,7:30 pm,Golden State Warriors,124,Philadelphia 76ers,116,20848,
Sat Nov 18 2017,10:00 pm,Sacramento Kings,90,Portland Trail Blazers,102,19522,
Sun Nov 19 2017,6:00 pm,Golden State Warriors,118,Brooklyn Nets,111,17732,
Sun Nov 19 2017,9:30 pm,Denver Nuggets,109,Los Angeles Lakers,127,18997,
Sun Nov 19 2017,5:00 pm,Indiana Pacers,120,Miami Heat,95,19600,
Sun Nov 19 2017,7:00 pm,Detroit Pistons,100,Minnesota Timberwolves,97,16069,
Sun Nov 19 2017,8:00 pm,Chicago Bulls,105,Phoenix Suns,113,16264,
Sun Nov 19 2017,3:30 pm,Washington Wizards,91,Toronto Raptors,100,19800,
Mon Nov 20 2017,7:00 pm,Minnesota Timberwolves,102,Charlotte Hornets,118,15978,
Mon Nov 20 2017,8:30 pm,Boston Celtics,110,Dallas Mavericks,102,20302,
Mon Nov 20 2017,7:00 pm,Cleveland Cavaliers,116,Detroit Pistons,88,20491,
Mon Nov 20 2017,8:00 pm,Portland Trail Blazers,100,Memphis Grizzlies,92,15785,
Mon Nov 20 2017,8:00 pm,Washington Wizards,99,Milwaukee Bucks,88,16122,
Mon Nov 20 2017,8:00 pm,Oklahoma City Thunder,107,New Orleans Pelicans,114,16765,
Mon Nov 20 2017,7:30 pm,Los Angeles Clippers,85,New York Knicks,107,18848,
Mon Nov 20 2017,7:00 pm,Indiana Pacers,105,Orlando Magic,97,17239,
Mon Nov 20 2017,7:00 pm,Utah Jazz,86,Philadelphia 76ers,107,20587,
Mon Nov 20 2017,10:00 pm,Denver Nuggets,114,Sacramento Kings,98,17583,
Mon Nov 20 2017,8:30 pm,Atlanta Hawks,85,San Antonio Spurs,96,18418,
Tue Nov 21 2017,10:30 pm,Chicago Bulls,94,Los Angeles Lakers,103,18997,
Wed Nov 22 2017,7:30 pm,Los Angeles Clippers,116,Atlanta Hawks,103,12675,
Wed Nov 22 2017,7:00 pm,Washington Wizards,124,Charlotte Hornets,129,16041,
Wed Nov 22 2017,7:00 pm,Brooklyn Nets,109,Cleveland Cavaliers,119,20562,
Wed Nov 22 2017,8:00 pm,Denver Nuggets,95,Houston Rockets,125,18055,
Wed Nov 22 2017,8:00 pm,Dallas Mavericks,95,Memphis Grizzlies,94,16101,
Wed Nov 22 2017,7:30 pm,Boston Celtics,98,Miami Heat,104,19704,
Wed Nov 22 2017,8:00 pm,Orlando Magic,118,Minnesota Timberwolves,124,16402,
Wed Nov 22 2017,8:00 pm,San Antonio Spurs,90,New Orleans Pelicans,107,17539,
Wed Nov 22 2017,7:30 pm,Toronto Raptors,100,New York Knicks,108,19812,
Wed Nov 22 2017,8:00 pm,Golden State Warriors,91,Oklahoma City Thunder,108,18203,
Wed Nov 22 2017,7:00 pm,Portland Trail Blazers,81,Philadelphia 76ers,101,20605,
Wed Nov 22 2017,9:00 pm,Milwaukee Bucks,113,Phoenix Suns,107,16270,
Wed Nov 22 2017,10:30 pm,Los Angeles Lakers,102,Sacramento Kings,113,17583,
Wed Nov 22 2017,9:00 pm,Chicago Bulls,80,Utah Jazz,110,17434,
Fri Nov 24 2017,7:30 pm,New York Knicks,104,Atlanta Hawks,116,14355,
Fri Nov 24 2017,7:30 pm,Orlando Magic,103,Boston Celtics,118,18624,
Fri Nov 24 2017,12:00 pm,Portland Trail Blazers,127,Brooklyn Nets,125,15246,
Fri Nov 24 2017,8:00 pm,Charlotte Hornets,99,Cleveland Cavaliers,100,20562,
Fri Nov 24 2017,9:00 pm,Memphis Grizzlies,92,Denver Nuggets,104,16736,
Fri Nov 24 2017,10:30 pm,Chicago Bulls,94,Golden State Warriors,143,19596,
Fri Nov 24 2017,8:00 pm,Toronto Raptors,104,Indiana Pacers,107,16523,
Fri Nov 24 2017,8:00 pm,Miami Heat,109,Minnesota Timberwolves,97,18978,
Fri Nov 24 2017,8:00 pm,Detroit Pistons,99,Oklahoma City Thunder,98,18203,
Fri Nov 24 2017,9:00 pm,New Orleans Pelicans,115,Phoenix Suns,91,16574,
Sat Nov 25 2017,7:30 pm,Toronto Raptors,112,Atlanta Hawks,78,12278,
Sat Nov 25 2017,7:00 pm,San Antonio Spurs,106,Charlotte Hornets,86,18597,
Sat Nov 25 2017,8:30 pm,Oklahoma City Thunder,81,Dallas Mavericks,97,20340,
Sat Nov 25 2017,8:30 pm,New Orleans Pelicans,95,Golden State Warriors,110,19596,
Sat Nov 25 2017,8:00 pm,New York Knicks,102,Houston Rockets,117,18055,
Sat Nov 25 2017,8:00 pm,Boston Celtics,108,Indiana Pacers,98,16303,
Sat Nov 25 2017,7:00 pm,Orlando Magic,111,Philadelphia 76ers,130,20585,
Sat Nov 25 2017,10:00 pm,Los Angeles Clippers,97,Sacramento Kings,95,17583,
Sat Nov 25 2017,9:00 pm,Milwaukee Bucks,108,Utah Jazz,121,17298,
Sat Nov 25 2017,7:00 pm,Portland Trail Blazers,108,Washington Wizards,105,18092,
Sun Nov 26 2017,3:30 pm,Miami Heat,100,Chicago Bulls,93,20928,
Sun Nov 26 2017,6:00 pm,Brooklyn Nets,98,Memphis Grizzlies,88,14889,
Sun Nov 26 2017,3:30 pm,Phoenix Suns,108,Minnesota Timberwolves,119,16448,
Mon Nov 27 2017,7:30 pm,Detroit Pistons,118,Boston Celtics,108,18624,
Mon Nov 27 2017,10:30 pm,Sacramento Kings,110,Golden State Warriors,106,19596,
Mon Nov 27 2017,8:00 pm,Brooklyn Nets,103,Houston Rockets,117,16189,
Mon Nov 27 2017,7:00 pm,Orlando Magic,109,Indiana Pacers,121,12501,
Mon Nov 27 2017,10:30 pm,Los Angeles Lakers,115,Los Angeles Clippers,120,18086,
Mon Nov 27 2017,7:30 pm,Portland Trail Blazers,103,New York Knicks,91,18409,
Mon Nov 27 2017,7:00 pm,Cleveland Cavaliers,113,Philadelphia 76ers,91,20527,
Mon Nov 27 2017,8:30 pm,Dallas Mavericks,108,San Antonio Spurs,115,17918,
Tue Nov 28 2017,8:00 pm,Phoenix Suns,104,Chicago Bulls,99,18324,
Tue Nov 28 2017,7:00 pm,Miami Heat,97,Cleveland Cavaliers,108,20562,
Tue Nov 28 2017,8:00 pm,Washington Wizards,92,Minnesota Timberwolves,89,13442,
